THE | 1,69;
GHE | 0,07;
LLO | 0,07;
NLY | 0,07;
ENI | 0,07;
YST | 0,07;
NEA | 0,07;
ADA | 0,07;
NGO | 0,07;
AYI | 0,07;
TIL | 0,06;
LIG | 0,06;
LAN | 0,06;
EIR | 0,06;
HEB | 0,06;
WLS | 0,06;
INH | 0,06;
UGG | 0,06;
TST | 0,06;
TIT | 0,06;
GLE | 0,06;
VEH | 0,06;
OST | 0,06;
EEM | 0,06;
NEV | 0,06;
FRO | 0,06;
STI | 0,06;
ISM | 0,06;
NDR | 0,06;
NSI | 0,06;
YAN | 0,06;
FOU | 0,06;
ENS | 0,06;
LEA | 0,06;
URE | 0,06;
ENH | 0,06;
ELI | 0,06;
ASI | 0,06;
ANG | 0,06;
OOD | 0,06;
HEO | 0,06;
RSE | 0,06;
FIN | 0,06;
NAN | 0,06;
RST | 0,06;
END | 0,06;
IDD | 0,06;
WAY | 0,06;
RAL | 0,06;
ERB | 0,06;
SIT | 0,06;
REN | 0,06;
MES | 0,06;
TRA | 0,06;
EME | 0,06;
IKE | 0,06;
SPO | 0,06;
ATC | 0,06;
GST | 0,06;
GHI | 0,06;
TOU | 0,06;
AIN | 0,06;
VED | 0,06;
EBO | 0,06;
NAM | 0,06;
TOO | 0,06;
YWE | 0,06;
GET | 0,06;
HTH | 0,06;
ASO | 0,06;
UTH | 0,06;
NER | 0,06;
RSI | 0,06;
DEN | 0,06;
EPE | 0,06;
TTL | 0,06;
OIN | 0,06;
RIT | 0,06;
BLA | 0,06;
HEE | 0,06;
AIR | 0,06;
OFH | 0,06;
CAR | 0,06;
ISC | 0,06;
NCE | 0,06;
LIT | 0,06;
CHE | 0,06;
YRE | 0,06;
ERF | 0,06;
OUD | 0,06;
ETS | 0,06;
NDW | 0,06;
TOD | 0,06;
ESO | 0,05;
SMR | 0,05;
OTO | 0,05;
EON | 0,05;
ADE | 0,05;
RIG | 0,05;
PLA | 0,05;
LYT | 0,05;
DIS | 0,05;
ELO | 0,05;
ARS | 0,05;
OHI | 0,05;
UCH | 0,05;
COM | 0,05;
CLE | 0,05;
ELF | 0,05;
IMS | 0,05;
MOS | 0,05;
NSE | 0,05;
CAL | 0,05;
LEB | 0,05;
OFF | 0,05;
LIN | 0,05;
RMA | 0,05;
SID | 0,05;
GRO | 0,05;
SEL | 0,05;
ISA | 0,05;
UDL | 0,05;
TUR | 0,05;
YHE | 0,05;
YHA | 0,05;
TLY | 0,05;
DED | 0,05;
NEW | 0,05;
GGL | 0,05;
HAP | 0,05;
NDA | 0,05;
OWA | 0,05;
OHA | 0,05;
IOU | 0,05;
NDP | 0,05;
UTA | 0,05;
LLB | 0,05;
LAC | 0,05;
LIK | 0,05;
LEW | 0,05;
ARI | 0,05;
DDE | 0,05;
PRI | 0,05;
NIG | 0,05;
ISP | 0,05;
SMI | 0,05;
INE | 0,05;
AYS | 0,05;
LVE | 0,05;
ACE | 0,05;
ERW | 0,05;
ESE | 0,05;
TWO | 0,05;
PEN | 0,05;
MED | 0,05;
OOT | 0,05;
EYR | 0,05;
ADB | 0,05;
TEA | 0,05;
NYO | 0,05;
EYH | 0,05;
BOY | 0,05;
ROM | 0,05;
TIM | 0,05;
TOR | 0,05;
NGL | 0,05;
HAL | 0,05;
DOF | 0,05;
LYS | 0,05;
BEI | 0,05;
NGR | 0,05;
LEM | 0,05;
DRO | 0,05;
CHI | 0,05;
TWH | 0,05;
TSI | 0,05;
TEN | 0,05;
EEP | 0,05;
ETD | 0,05;
ILY | 0,05;
MUG | 0,05;
JUS | 0,05;
ONH | 0,05;
OPE | 0,05;
TOS | 0,05;
OUK | 0,05;
UKN | 0,05;
LYO | 0,05;
ALI | 0,05;
NEX | 0,05;
IRS | 0,05;
TSA | 0,05;
NTR | 0,05;
YON | 0,05;
TOP | 0,05;
SGO | 0,05;
RFO | 0,05;
INC | 0,05;
TEL | 0,05;
MBE | 0,05;
REP | 0,05;
YWA | 0,05;
SNA | 0,05;
PAS | 0,05;
ISN | 0,05;
ISB | 0,05;
PEC | 0,05;
BEF | 0,05;
EDM | 0,05;
DUD | 0,05;
ESH | 0,05;
TIC | 0,05;
SIG | 0,05;
DAT | 0,05;
SEY | 0,05;
WAT | 0,05;
BER | 0,05;
NON | 0,05;
ROA | 0,05;
DUP | 0,05;
DOU | 0,05;
SET | 0,05;
SWA | 0,04;
GAR | 0,04;
OWW | 004;
CES | 0,04;
ASW | 0,04;
STT | 0,04;
MEN | 0,04;
ANK | 0,04;
TKN | 0,04;
URN | 0,04;
NGB | 0,04;
OOR | 0,04;
LHE | 0,04;
LOW | 0,04;
EWI | 0,04;
ONI | 0,04;
SIR | 0,04;
MUS | 0,04;
YTO | 0,04;
HTB | 0,04;
MOU | 0,04;
DBA | 0,04;
DWA | 0,04;
TOL | 0,04;
NUM | 0,04;
TSW | 0,04;
WED | 0,04;
ALM | 0,04;
TSO | 0,04;
OUC | 0,04;
DEA | 0,04;
EXT | 0,04;
WHY | 0,04;
VOL | 0,04;
YWH | 0,04;
LDI | 0,04;
EXP | 0,04;
TTI | 0,04;
UTI | 0,04;
ERC | 0,04;
NHA | 0,04;
GOT | 0,04;
SEH | 0,04;
IDP | 0,04;
CHA | 0,04;
EDP | 0,04;
UDD | 0,04;
IDS | 0,04;
NTA | 0,04;
NWA | 0,04;
TWI | 0,04;
TAB | 0,04;
TDR | 0,04;
ETU | 0,04;
LBE | 0,04;
SCA | 0,04;
FHI | 0,04;
WEA | 0,04;
YSH | 0,04;
DAR | 0,04;
SIS | 0,04;
BEC | 0,04;
TWE | 0,04;
RIL | 0,04;
TPR | 0,04;
HEG | 0,04;
YAS | 0,04;
ECL | 0,04;
SBE | 0,04;
HOO | 0,04;
SAL | 0,04;
RRI | 0,04;
RIE | 0,04;
TEV | 0,04;
NTB | 0,04;
CAU | 0,04;
NKE | 0,04;
PUT | 0,04;
OKI | 0,04;
LEE | 0,04;
ION | 0,04;
ATL | 0,04;
EHO | 0,04;
ATM | 0,04;
LAM | 0,04;
EDD | 0,04;
IFF | 0,04;
TOA | 0,04;
IME | 0,04;
RYO | 0,04;
ALK | 0,04;
LEH | 0,04;
WWH | 004;
NDM | 0,04;
TLA | 0,04;
HOL | 0,04;
ETI | 0,04;
RIO | 0,04;
ARK | 0,04;
RAS | 0,04;
EBA | 0,04;
ONS | 0,04;
DSO | 0,04;
ALA | 0,04;
OFN | 0,04;
ALE | 0,04;
EYA | 0,04;
INI | 0,04;
ODA | 0,04;
IED | 0,04;
ISS | 0,04;
GOO | 0,04;
EBU | 0,04;
DOV | 0,04;
OWH | 0,04;
CRE | 0,04;
ORR | 0,04;
FHE | 0,04;
REI | 0,04;
RDE | 0,04;
ARA | 0,04;
LDB | 0,04;
WOR | 0,04;
NCL | 0,04;
COR | 0,04;
ROP | 0,04;
LIV | 0,04;
HIC | 0,04;
UPS | 0,04;
BUN | 0,04;
GAT | 0,04;
MSE | 0,04;
YHI | 0,04;
TDU | 0,04;
RSA | 0,04;
ICH | 0,04;
MUC | 0,04;
VEA | 0,04;
TMR | 0,04;
NDL | 0,04;
RUM | 0,04;
GED | 0,04;
EMI | 0,04;
SUA | 0,04;
LOT | 0,04;
TSH | 0,04;
ASM | 0,04;
SHI | 0,04;
ROO | 0,04;
RYS | 0,04;
TAS | 0,04;
NDB | 0,04;
STU | 0,04;
TNO | 0,04;
TUN | 0,04;
ITI | 0,04;
ULL | 0,04;
ERM | 0,04;
FTE | 0,04;
SIL | 0,04;
BRI | 0,04;
ENC | 0,04;
GRE | 0,04;
ESP | 0,04;
LSO | 0,04;
LON | 0,04;
ONL | 0,04;
DSA | 0,04;
EAB | 0,04;
UCK | 0,04;
OCK | 0,04;
ERN | 0,04;
AKE | 0,04;
RNO | 0,04;
FFI | 0,04;
TOW | 0,04;
AUS | 0,04;
BET | 0,04;
DLY | 0,04;
REC | 0,04;
NTT | 0,04;
NTE | 0,04;
HAS | 0,04;
IDH | 0,04;
ADH | 0,04;
YBU | 0,04;
EMU | 0,04;
TMO | 0,04;
DNO | 0,03;
TIO | 0,03;
YLO | 0,03;
WIL | 0,03;
IDI | 0,03;
ISF | 0,03;
RWH | 0,03;
EPA | 0,03;
ORD | 0,03;
IMA | 0,03;
CEL | 0,03;
SAR | 0,03;
ITA | 0,03;
DBU | 0,03;
TAT | 0,03;
EWS | 0,03;
FEW | 0,03;
DWH | 0,03;
RYM | 0,03;
USL | 0,03;
NKI | 0,03;
RYI | 0,03;
TUP | 0,03;
EMS | 0,03;
ARM | 0,03;
VIN | 0,03;
SUR | 0,03;
ROW | 0,03;
TRU | 0,03;
POS | 0,03;
LAR | 0,03;
RON | 0,03;
ONG | 0,03;
ENW | 0,03;
MON | 0,03;
DOO | 0,03;
LEP | 0,03;
BEH | 0,03;
OON | 0,03;
SUD | 0,03;
NTL | 0,03;
SLI | 0,03;
FLY | 0,03;
REF | 0,03;
MEI | 0,03;
SOS | 0,03;
WAR | 0,03;
ART | 0,03;
ILE | 0,03;
BED | 0,03;
LAT | 0,03;
NGP | 0,03;
CON | 0,03;
OFS | 0,03;
IGN | 0,03;
DEM | 0,03;
ASL | 0,03;
RGE | 0,03;
VEI | 0,03;
EGO | 0,03;
YYO | 0,03;
LLG | 0,03;
LDA | 0,03;
UTE | 0,03;
UPI | 0,03;
WEN | 0,03;
AMO | 0,03;
UAL | 0,03;
LDH | 0,03;
ADN | 0,03;
BES | 0,03;
NCA | 0,03;
UFF | 0,03;
RWA | 0,03;
ACT | 0,03;
ELA | 0,03;
OSA | 0,03;
VEW | 0,03;
LIC | 0,03;
MOT | 0,03;
THR | 0,03;
RHA | 0,03;
IRA | 0,03;
ERG | 0,03;
OAD | 0,03;
NEI | 0,03;
OTS | 0,03;
UCA | 0,03;
BUS | 0,03;
OFI | 0,03;
ETE | 0,03;
IZE | 0,03;
HTO | 0,03;
SEC | 0,03;
NGF | 0,03;
ORI | 0,03;
WAN | 0,03;
EDR | 0,03;
LYH | 0,03;
YSO | 0,03;
ANO | 0,03;
HAI | 0,03;
BRA | 0,03;
EGR | 0,03;
TSN | 0,03;
NTK | 0,03;
NST | 0,03;
DLI | 0,03;
DSH | 0,03;
TOC | 0,03;
EPU | 0,03;
GOI | 0,03;
TDI | 0,03;
YCO | 0,03;
YLI | 0,03;
USA | 0,03;
LEF | 0,03;
TFI | 0,03;
DNE | 0,03;
ENL | 0,03;
LFA | 0,03;
KER | 0,03;
NDU | 0,03;
NAL | 0,03;
DRE | 0,03;
HTT | 0,03;
DEH | 0,03;
MAD | 0,03;
LYI | 0,03;
IDT | 0,03;
EBR | 0,03;
LMO | 0,03;
YCL | 0,03;
EMR | 0,03;
LEC | 0,03;
SSA | 0,03;
YPO | 0,03;
REB | 0,03;
ISE | 0,03;
FEL | 0,03;
ARP | 0,03;
SEN | 0,03;
ERU | 0,03;
MOV | 0,03;
WON | 0,03;
ERL | 0,03;
WEV | 0,03;
ILD | 0,03;
LEI | 0,03;
NTM | 0,03;
PAT | 0,03;
SOU | 0,03;
FAM | 0,03;
XPE | 0,03;
FLI | 0,03;
ESU | 0,03;
GEN | 0,03;
ATD | 0,03;
VEO | 0,03;
ANC | 0,03;
LYB | 0,03;
EFI | 0,03;
RUN | 0,03;
MIL | 0,03;
MEA | 0,03;
LLD | 0,03;
ADI | 0,03;
RCY | 0,03;
TBU | 0,03;
OKA | 0,03;
FAN | 0,03;
RPR | 0,03;
FTO | 0,03;
MYS | 0,03;
CYC | 0,03;
EFA | 0,03;
SAS | 0,03;
ACH | 0,03;
PEA | 0,03;
ORA | 0,03;
ESD | 0,03;
KIL | 0,03;
ORW | 0,03;
DYO | 0,03;
RYP | 0,03;
IFT | 0,03;
SAW | 0,03;
ASG | 0,03;
SWH | 0,03;
ASE | 0,03;
SNT | 0,03;
HHE | 0,03;
OOM | 0,03;
EEY | 0,03;
NOS | 0,03;
MIG | 0,03;
KEN | 0,03;
DWI | 0,03;
PPO | 0,03;
SLY | 0,03;
ABL | 0,03;
SUP | 0,03;
LST | 0,03;
OTE | 0,03;
HTI | 0,03;
TNI | 0,03;
GNO | 0,03;
ALO | 0,03;
PRE | 0,03;
ALF | 0,03;
CEA | 0,03;
MEH | 0,03;
DST | 0,03;
KAN | 0,03;
ROV | 0,03;
GFO | 0,03;
KHA | 0,03;
LOU | 0,03;
RTS | 0,03;
CLI | 0,03;
NOF | 0,03;
CKH | 0,03;
CKA | 0,03;
NIF | 0,03;
CKI | 0,03;
FIT | 0,03;
HTM | 0,03;
OSS | 0,03;
OIC | 0,03;
ASP | 0,03;
HTE | 0,03;
SUN | 0,03;
LSH | 0,03;
HON | 0,03;
EDG | 0,03;
MHE | 0,03;
YIT | 0,03;
AWA | 0,03;
CTI | 0,03;
FAC | 0,03;
TYO | 0,03;
RTO | 0,03;
BRO | 0,03;
AFT | 0,03;
ATN | 0,03;
YWO | 0,03;
EFT | 0,03;
EYD | 0,03;
IMP | 0,03;
TAC | 0,03;
ABB | 0,03;
ONC | 0,03;
AVI | 0,03;
AMI | 0,03;
DUN | 0,03;
DBY | 0,03;
SWI | 0,03;
LOV | 0,03;
ODD | 0,03;
ITM | 0,03;
NTD | 0,03;
TRI | 0,03;
RKI | 0,03;
AYA | 0,03;
EPT | 0,03;
SMA | 0,03;
RGO | 0,03;
FFL | 0,03;
LAI | 0,03;
LLI | 0,03;
ECR | 0,03;
FUL | 0,03;
SCL | 0,03;
UTW | 0,03;
ORC | 0,03;
ARG | 0,03;
ANE | 0,03;
ADT | 0,03;
ANH | 0,03;
NGW | 0,03;
DAL | 0,03;
GRU | 0,03;
IMB | 0,03;
LEO | 0,03;
GAV | 0,03;
AKS | 0,03;
SFA | 0,03;
UNN | 0,03;
NYT | 0,03;
NAS | 0,03;
UPP | 0,03;
ISW | 0,03;
OPI | 0,03;
YNO | 0,03;
CTL | 0,03;
ASK | 0,03;
DSE | 0,03;
FIR | 0,03;
YSA | 0,03;
TFO | 0,03;
USU | 0,03;
EFR | 0,03;
SAT | 0,03;
RNI | 0,03;
RYH | 0,03;
SSI | 0,03;
ORH | 0,03;
NAT | 0,03;
DDI | 0,03;
EYC | 0,03;
FIC | 0,03;
KTH | 0,03;
EYT | 0,03;
LAL | 0,02;
CRO | 0,02;
TDO | 0,02;
EXA | 0,02;
OTA | 0,02;
AGI | 0,02;
INF | 0,02;
COL | 0,02;
UNG | 0,02;
LLR | 0,02;
LYW | 0,02;
RER | 0,02;
RDW | 0,02;
ATB | 0,02;
WNT | 0,02;
AMA | 0,02;
ADM | 0,02;
EDL | 0,02;
SWO | 0,02;
NIT | 0,02;
OFP | 0,02;
TBL | 0,02;
DPO | 0,02;
USH | 0,02;
ATF | 0,02;
BLI | 0,02;
DSP | 0,02;
EYM | 0,02;
GSH | 0,02;
LLN | 0,02;
RWO | 0,02;
RDO | 0,02;
CTA | 0,02;
ASC | 0,02;
CEI | 0,02;
STF | 0,02;
TPE | 0,02;
GAB | 0,02;
SBU | 0,02;
SOW | 0,02;
MAP | 0,02;
KAT | 0,02;
DPE | 0,02;
OFB | 0,02;
TCO | 0,02;
STS | 0,02;
LIE | 0,02;
NIS | 0,02;
OFA | 0,02;
EFU | 0,02;
SCO | 0,02;
LSS | 0,02;
TIF | 0,02;
RSP | 0,02;
TME | 0,02;
AMP | 0,02;
RYT | 0,02;
LBU | 0,02;
TSL | 0,02;
ROK | 0,02;
DIF | 0,02;
DWE | 0,02;
PAR | 0,02;
EAI | 0,02;
NES | 0,02;
IBL | 0,02;
RRO | 0,02;
RFE | 0,02;
GLA | 0,02;
YSE | 0,02;
CHT | 0,02;
STP | 0,02;
USB | 0,02;
RYW | 0,02;
DYE | 0,02;
ANW | 0,02;
NAC | 0,02;
LYY | 0,02;
CHW | 0,02;
DEX | 0,02;
PTH | 0,02;
RIC | 0,02;
ETW | 0,02;
YEA | 0,02;
ASU | 0,02;
QUI | 0,02;
LNE | 0,02;
IDM | 0,02;
FON | 0,02;
ERP | 0,02;
ACO | 0,02;
EYL | 0,02;
SEP | 0,02;
LLW | 0,02;
OCO | 0,02;
FFE | 0,02;
TMI | 0,02;
NCH | 0,02;
ASF | 0,02;
SLA | 0,02;
FNU | 0,02;
IHA | 0,02;
CKL | 0,02;
HRO | 0,02;
ELY | 0,02;
LDS | 0,02;
WNO | 0,02;
ROB | 0,02;
REV | 0,02;
YDI | 0,02;
USD | 0,02;
REG | 0,02;
DJU | 0,02;
EPR | 0,02;
KYO | 0,02;
NGD | 0,02;
BOO | 0,02;
BOR | 0,02;
SAP | 0,02;
BEL | 0,02;
AKI | 0,02;
FYO | 0,02;
ATU | 0,02;
GAS | 0,02;
JAM | 0,02;
NAB | 0,02;
APE | 0,02;
TAF | 0,02;
SCR | 0,02;
UPT | 0,02;
SMO | 0,02;
FEC | 0,02;
LSA | 0,02;
THH | 0,02;
MOO | 0,02;
REY | 0,02;
ALT | 0,02;
ITD | 0,02;
DES | 0,02;
VEM | 0,02;
ESN | 0,02;
EAM | 0,02;
SEV | 0,02;
WNI | 0,02;
EEV | 0,02;
LHA | 0,02;
AYL | 0,02;
RSW | 0,02;
KNE | 0,02;
ODR | 0,02;
DGE | 0,02;
REM | 0,02;
ONF | 0,02;
RHO | 0,02;
LDM | 0,02;
TRY | 0,02;
IRE | 0,02;
EWO | 0,02;
ANS | 0,02;
BBY | 0,02;
ERD | 0,02;
SEI | 0,02;
SES | 0,02;
SYE | 0,02;
VEG | 0,02;
ECH | 0,02;
ECE | 0,02;
NGN | 0,02;
IDY | 0,02;
ESY | 0,02;
OHE | 0,02;
EWW | 0,02;
IMH | 0,02;
OPP | 0,02;
HTA | 0,02;
YED | 0,02;
ISI | 0,02;
RIS | 0,02;
EDN | 0,02;
POR | 0,02;
GHA | 0,02;
MEO | 0,02;
NKY | 0,02;
POI | 0,02;
RTI | 0,02;
TLI | 0,02;
ONO | 0,02;
ITE | 0,02;
UNC | 0,02;
LYE | 0,02;
EOW | 0,02;
KHE | 0,02;
EPI | 0,02;
TSC | 0,02;
FAL | 0,02;
OLL | 0,02;
LEN | 0,02;
WEE | 0,02;
ACA | 0,02;
YCA | 0,02;
NPR | 0,02;
KEA | 0,02;
SBL | 0,02;
YOF | 0,02;
TMU | 0,02;
YOR | 0,02;
SPR | 0,02;
TAI | 0,02;
HUG | 0,02;
NOU | 0,02;
SYO | 0,02;
LKE | 0,02;
IEV | 0,02;
AWH | 0,02;
VOI | 0,02;
TMA | 0,02;
NEM | 0,02;
CET | 0,02;
NHU | 0,02;
IKN | 0,02;
YSS | 0,02;
DMA | 0,02;
RLY | 0,02;
POF | 0,02;
ESL | 0,02;
MAG | 0,02;
NDD | 0,02;
AFE | 0,02;
HOP | 0,02;
ADO | 0,02;
YGO | 0,02;
LIZ | 0,02;
IEF | 0,02;
OAR | 0,02;
EEH | 0,02;
RTA | 0,02;
SKE | 0,02;
AYT | 0,02;
HIT | 0,02;
SSS | 0,02;
IDW | 0,02;
DGI | 0,02;
FBL | 0,02;
TAK | 0,02;
TEP | 0,02;
RLE | 0,02;
ITC | 0,02;
BAB | 0,02;
MPO | 0,02;
DSW | 0,02;
WIS | 0,02;
ASD | 0,02;
YBO | 0,02;
MEB | 0,02;
EMY | 0,02;
ADP | 0,02;
YNE | 0,02;
EGE | 0,02;
CAM | 0,02;
TRO | 0,02;
WAK | 0,02;
NAV | 0,02;
NGU | 0,02;
OFO | 0,02;
GES | 0,02;
UGE | 0,02;
EMB | 0,02;
UMM | 0,02;
BOT | 0,02;
IWO | 0,02;
UTM | 0,02;
RHI | 0,02;
TIS | 0,02;
CHO | 0,02;
LRI | 0,02;
RCO | 0,02;
OLI | 0,02;
TPL | 0,02;
DMY | 0,02;
EAV | 0,02;
OWS | 0,02;
NDJ | 0,02;
LWA | 0,02;
RBE | 0,02;
DPA | 0,02;
ALB | 0,02;
RAR | 0,02;
ITB | 0,02;
RKE | 0,02;
OAN | 0,02;
IVI | 0,02;
OSI | 0,02;
WTH | 0,02;
EFE | 0,02;
UPA | 0,02;
MPL | 0,02;
EBY | 0,02;
FLO | 0,02;
USI | 0,02;
PON | 0,02;
SIM | 0,02;
DAB | 0,02;
BEN | 0,02;
EAG | 0,02;
POC | 0,02;
MLY | 0,02;
DSB | 0,02;
RMI | 0,02;
YSK | 0,02;
HIL | 0,02;
ERK | 0,02;
CEN | 0,02;
RDI | 0,02;
ADL | 0,02;
